,Tweets
72,"RT @thouse_opinions: El #Salvador, #Ethiopia and #Kazakhstan become the latest countries to add #China's #COVID19 #vaccines to their inocul…"
73,RT @WajahatAli: I still wear my mask and social distance after my second shot because we're still in a pandemic. Not that hard. 
74,https://t.…
75,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
76,RT @Milhouse_Van_Ho: Vaccine passports and vaccines are completely different things. You can be the most pro-vaccine person on the planet a…
77,"RT @GandWalter: So a nurse who worked 1 shift on a covid ward gets covid, she was unvaccinated and therefore unprotected to be working on t…"
78,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
79,Pedigree Rottweiler with database available for sale in Ibadan! 
80,Age: 8 weeks (2 months old)
81,Sex: Male 
82,Dhlpp Vaccines: Done ? 
83,Location: Ibadan
84,"Tel: 07051640649,09038588529"
85,The serve as home security dogs or for breeders. 
86,Thanks for your patronage ?? https://t.co/RAQjQ3nggM
87,"RT @DrTomFrieden: Important: CDC finds that vaccines prevent Covid infection. That means once you're vaccinated, you're much less likely to…"
88,@AjkGiz ?? ?? ??
89,"Kel el article ""Could"" ""maybe""..."
90,The good news is we can modify RNA vaccines easily to adapt to any potential mutation.
91,I agree that we should be immunized faster.
92,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
93,"RT @zeynepyenisey: side note: ""anti-vaxxer"" is an idiotic label for this situation. you're more than welcome to get 10 vaccines if you want…"
94,RT @alasnich: The problem with the new COVID-19 crisis is due to the incompetence and lack of foresight of the Morrison Government in obtai…
95,RT @RyanRallyOh: The vaccines being made at Barnard Castle are purely coincidental. 
96,It has nothing to do with when Dominic Cummings' visi…
97,RT @MacLen315: You really believe that there is no NATIONAL VACCINATION PLAN in place? 
98,Paki check nyo nga itong 137-page na National Depl…
99,RT @krismeloche: Prime Minister Justin Trudeau said September.
100,His staff gave all the dates for vaccine arrival.
101,They were honest when Pfiz…
102,"RT @papuccino18: Now I’m scared for those 5 Billion Viewers for real, no wonder the number of people who have received vaccines has been qu…"
103,RT @DrSJaishankar: Never too far for friendship. 
104,Made in India vaccines arrive in Paraguay.
105,#VaccineMaitri https://t.co/UxdbKlqwAN
106,@ColmBurkeTD After watching your interview on @SkyNews and your mixed message on accepting vaccinations mirrors the mixed messages from the government. 
107,Simple question: Would you like vaccines from Britain? Yes or no? 
108,Clearly pride got in the way with your yes/no/maybe answer https://t.co/QHwZFlMwj2
109,"RT @aliceolilly: Dec 2020: we’ve invented Covid vaccines within a year, that’s amazing "
110,"Feb 2021: wow we’ve landed a craft on Mars, that’s…"
111,RT @BBCAfrica: Johnson &amp; Johnson says it will supply up to 400m doses of its vaccine to the African Union's member states.
112,The jab is a sin…
113,"So, with vaccines rolling out you won't be able to use your adherence to COVID protocols as an excuse. Just tell the truth. Say you don't want to go, you had taken off your bra when they asked, &amp; you're probably never gonna go, so they should stop inviting you."
114,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
115,RT @DrJoyeeta: My entire clinic staff has been exposed to the virus since I saw my first case in April 2020.
116,"We wore our masks,washed our h…"
117,"RT @aliceolilly: Dec 2020: we’ve invented Covid vaccines within a year, that’s amazing "
118,"Feb 2021: wow we’ve landed a craft on Mars, that’s…"
119,RT @guardian: Tuesday briefing: New vaccines could be needed in a year https://t.co/jFDXFp9sXA
120,"RT @LegalizeitLala: If vaccines work, why do you need a mask after getting one? ??"
121,@LizzaBe68997159 @KevinBrendan4 @harrylitman But the vaccines are not fully tested yet and anyway don't work against some variants so they're going to have to tweak them already. I rely hope there's no long term damage caused by any of these vaccines otherwise you'll be looking like a right fool then.
122,RT @Milhouse_Van_Ho: Vaccine passports and vaccines are completely different things. You can be the most pro-vaccine person on the planet a…
123,RT @rlopezaliaga1: Biden says Americans will be first to get vaccines; any surplus to be shared | Reuters https://t.co/2wfquaA58c
124,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
125,"RT @denniskioko: People are dying as the world suffers a drastic shortage of vaccines, all because Bill Gates and the West have held on to…"
126,"RT @Rockson2: 3 weeks ago, our first batch of doses arrived in Ghana. mPharma became the first Ghanaian company to help the government rece…"
127,RT @Evans_miloo: BBI money can be used to buy vaccines ~ ODM SG Edwin Sifuna
128,"This is Gate’s dream! He wants to reduce the world’s population substantially. So he’s quite happy to starve all these people and then give everyone else experimental vaccines, that could cause infertility, like so many others  on the market! We see this in the MSM  constantly! https://t.co/AwxCA6Vrcf"
129,RT @SeanBurkeShow: The UK donating vaccines to Ireland. https://t.co/Bdxh77wDaP
130,"RT @EFC_Gem: If your masks work, don’t be mad at me for not wearing one. If your vaccines work, don’t be mad at me for not having one ??"
131,"Sir @DrSJaishankar, Don't you think we should also donate Covid-19 vaccines to Palestine? "
132,#justasking
133,@MOS_MEA
134,@MEAIndia
135,#VaccineMaitri
136,"RT @NYGovCuomo: #BREAKING: Starting Tuesday, April 6 at 8am, all New Yorkers age 16+ will be eligible to schedule and receive the COVID-19…"
137,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
138,RT @MacLen315: You really believe that there is no NATIONAL VACCINATION PLAN in place? 
139,Paki check nyo nga itong 137-page na National Depl…
140,"RT @TheSun: Mutations could render Covid vaccines redundant in less than a year, experts warn https://t.co/cdMZ3UWWZV"
141,"The Moderna and Pfizer-BioNTech vaccines are very effective in real-world conditions at preventing infections, the C.D.C. reported. by BY GINA KOLATA via NYT New York Times https://t.co/toxfZpm2vl"
142,"Need to get my eyes tested, have I really just seen they're producing vaccines at Barnard Castle"
143,RT @nytimes: Breaking News: New York must immediately begin to offer Covid vaccines to all incarcerated people in the state’s prisons and j…
144,RT @mrbmartinbaker: Well well well. Tony Blair has received over $16 million  from the Bill Gates foundation. Could this explain the fact h…
145,@jonworth @arekmakarenko @mattwardman @peter_g_knight @joelbasson It is currently unknown if and when a 1.5/2nd gen vaccine might be needed. Modelling of the spike protein suggests that all mutations useful to the virus may already be found 'in the wild'. Most vaccines seem to be effective against those. 1/
146,Children can’t go to school without having certain vaccines so what’s your point ? https://t.co/uIW4MeS3UA
147,RT @WhiteHouse: How were the COVID-19 vaccines developed so quickly — and can Dr. Fauci explain in 15 seconds or less? Watch below to find…
148,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
149,"@bubbalouis78 @sallymcmanus ASame rotten problem all over! My family are all over 70, some with compromised systems. Our GP told us no vaccines before May."
150,Aged relatives in care homes - no advice either
151,RT @Naija_PR: NAFDAC has just raised  an alarm over fake COVID-19 vaccines in Nigeria
152,RT @RyanRallyOh: The vaccines being made at Barnard Castle are purely coincidental. 
153,It has nothing to do with when Dominic Cummings' visi…
154,RT @mrbmartinbaker: Well well well. Tony Blair has received over $16 million  from the Bill Gates foundation. Could this explain the fact h…
155,@Edward89501 @Mrs_Lutrick12 @seanhannity Oh great another conspiracy theorist. Shocker. ???????
156,"Yea yea Trump actually won the election too. Of course, of course. Oh and the vaccines have microchips as well, right?"
157,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
158,Who is next on the priority list for Covid vaccines - and how will I be contacted?  https://t.co/N5Hob7hsfW
159,"RT @GandWalter: So a nurse who worked 1 shift on a covid ward gets covid, she was unvaccinated and therefore unprotected to be working on t…"
160,RT @chungover: the way new york getting weed and vaccines because buddy can’t keep his hands to himself
161,RT @BreesAnna: Hang your heads in shame journalists. Instead of debating with these professors and doctors - the new journalistic tool is s…
162,@TheSun Populist crap ......... maybe they should read their own “paper” ??
163,https://t.co/Gg7YOarnhv
164,RT @Yannfoolery: Y’all are aware that we have to have certain vaccines to even go to certain countries before this right? https://t.co/VUik…
165,@soldisnew @zeynepyenisey The vaccines are literally a couple of months old; how the f*ck you gonna sit there with a straight face talking about “no long term effects”?! ??
166,RT @TheScotsman: Epidemiologists have delivered a stark warning today about the danger of not rolling out the vaccine as broadly as possibl…
167,"RT @PGoldschmeding: #vaccine specialist, #GeertVandenBossche, is risking his reputation and his career by speaking FIRMLY out against admin…"
168,"No body talks about global warming anymore. I guess they figure COVID has us all sufficiently nervous that it's not necessary to bring up CO? emissions. BTW, just so you know, the world has only 3 more years before climate change kills us all. But back to facemasks &amp;vaccines..."
169,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
170,"RT @rupert_pearse: Lovely article on adverse effects of vaccines from @d_spiegel, especially the last sentence: 'Perhaps we can just hope f…"
171,RT @cereal_twit: May I please find out who one contacts to jump the queue and get vaccines in one’s drawing room? @fslsltn @Asad_Umar @Imra…
172,@smartymartycavy @BBCFergusWalsh Sweden was going to finish it. Lipids for a lot of vaccines come from Croda in Yorkshire used to sheath mRNA strands.
173,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
174,"RT @denniskioko: People are dying as the world suffers a drastic shortage of vaccines, all because Bill Gates and the West have held on to…"
175,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
176,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
177,"RT @doginde: Those who theorise about COVID-19 and the vaccines, have not seen a person struggle under the clutches of this monster. Nor ha…"
178,RT @MichelleRempel: So.....what happens for someone in Canada who has had their first dose of the Astra vaccine? Do they miss the second? W…
179,RT @SandraWeeden: Hancock: FOUR vaccines?
180, 
181,‘government is looking at whether a booster vaccine dose will be needed in the Autumn. We're al…
182,@neetakolhatkar @vijhir Don’t know but May be because it requires Vaccines to be kept at a particular temperature. Going door to door may compromise that precondition.
183,RT @DalbidEU: EU still awaits vaccines ordered. UK ignores it. When we needed ‘ventilators’ #EU offered them. UK refused them. When UK had…
184,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
185,"RT @ossoff: Today: Atlanta, Macon, Columbus"
186,"Georgia voters sent me to deliver on vaccines, direct economic relief, emergency funding for s…"
187,RT @joshburnsmp: Remember last week when Greg Hunt and Scott Morrison said we didn't need to have a sense of urgency with their vaccine rol…
188,American furries: *talking about getting vaccines*
189,"Me: wait, you're even eligible for a vaccine???????"
190,"@michaelbd @Dennis_L_Morgan @politicalmath It’s a cult. These people truly believe they’ll die if they walk outside without a mask, even with vaccines. Believe me I see it everyday."
191,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
192,"RT @TheSun: Mutations could render Covid vaccines redundant in less than a year, experts warn https://t.co/cdMZ3UWWZV"
193,"Did You Know 3,964 Have Died From The COVID-19 Vaccines? https://t.co/DCjIeVLPbg #nolinks"
194,RT @MattOswaltVA: hey anyone in LA who meets the Covid vaccine eligibility and is having trouble getting the shot.
195,Go to this website - I j…
196,RT @AtteeqAnwer: It is shameful that this incompetent government is still asking China for more vaccines instead of making efforts to procu…
197,RT @StevenBeschloss: I drove to LA. I spent a night in a hotel. I ate in a restaurant. I hugged family I hadn’t seen in a year. I made plan…
198,RT @___inCANdescent: Did y’all know it’s been a practice that to go to certain countries you have to get certain vaccines? I thought y’all…
199,"RT @BNODesk: NEW: CDC study finds Pfizer/Moderna vaccines are not only effective against symptoms, but also 90% effective against coronavir…"
200,"@edgeoforever @ariehkovler There is recent data on NY variant and vaccines and it’s encouraging, if not unexpected. "
201,https://t.co/zgijXcWD4z
202,RT @frontliners_ph: How can there be equitable access to vaccines if you will be requiring PhilHealth ID number?
203,This is very anti-poor. A…
204,"RT @TheSun: Mutations could render Covid vaccines redundant in less than a year, experts warn https://t.co/cdMZ3UWWZV"
205,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
206,RT @joshburnsmp: Remember last week when Greg Hunt and Scott Morrison said we didn't need to have a sense of urgency with their vaccine rol…
207,"Oh Christ, no end to the skullduggery @VhiWMM #beaconhospital CEO obviously looked after all his buddies using OUR vaccines. He’s a leech. https://t.co/S1V87kpjoV"
208,"What's going on? Are the Feds telling porkies and the states don't trust them, therefore there's TWO stockpiles? https://t.co/Ekx5Noh9hB"
209,@zeynepyenisey And you still have to wear masks distance and wash hands. mRNA has been studied for decades but now comes out with this form of a vaccine. Flu vaccines are determined in Spring and can put out a vaccine for Fall....
210,"RT @GandWalter: So a nurse who worked 1 shift on a covid ward gets covid, she was unvaccinated and therefore unprotected to be working on t…"
211,@POTUS The USA do not export vaccines and yet claim they are 'leaders of the free world'. Hypocrites.
212,"@NickFerrariLBC  When people like Bill Gate talk about Eugenic via vaccines and over populatiin growth and birth control in Africa, he is not speaking of the queen."
213,RT @mrbmartinbaker: Well well well. Tony Blair has received over $16 million  from the Bill Gates foundation. Could this explain the fact h…
214,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
215,"RT @KLFY ""The U.S government’s first look at the real-world use of COVID-19 vaccines found their effectiveness was nearly as robust as it was in controlled studies. https://t.co/nTCTXXkWoe"""
216,RT @peoplesvaccine: Shocking new #PeoplesVaccine survey just out: 
217,2/3s of epidemiologists warn mutations could render current #COVID19 va…
218,"RT @pbhushan1: Amazing how Govt&amp;media is hyping the fresh Covid wave&amp; Vaccines, w/o asking whether fresh wave is due to UK &amp; South African…"
219,RT @angie_rasmussen: Kids are not immune to SARS-CoV-2. Reaching the herd immunity threshold doesn’t just mean vaccinating adults. It means…
220,RT @DrSJaishankar: Never too far for friendship. 
221,Made in India vaccines arrive in Paraguay.
222,#VaccineMaitri https://t.co/UxdbKlqwAN
223,"RT @DrTomFrieden: Important: CDC finds that vaccines prevent Covid infection. That means once you're vaccinated, you're much less likely to…"
224,"RT @GandWalter: So a nurse who worked 1 shift on a covid ward gets covid, she was unvaccinated and therefore unprotected to be working on t…"
225,"RT @spectatorindex: JUST IN: CDC study finds that Pfizer and Moderna coronavirus vaccines, after full-immunization, are showing 90% effecti…"
226,RT @guardian: Tuesday briefing: New vaccines could be needed in a year https://t.co/jFDXFp9sXA
227,"Goodness Boris is desperate.  Everyday tweeting incessantly about getting vaccinated.  He has had the illness, had two vaccines..when does immunity kick in? https://t.co/l1kQn0uZKZ"
228,"RT @IFPMA: Vaccines are an important tool in the battle against the #COVID19 pandemic. By choosing to get a vaccine, you are helping to pro…"
229,Using the for-profit logic of US healthcare to manufacture and distribute vaccines around the world is working about as well as US healthcare     https://t.co/pwycTkYPwc
230,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
231,@PrimeFXltd @nickgutteridge Yes so sovereign that the vaccine alliance of member states had negotiated contracts for vaccines. The EC then told them they weren’t allowed and started negotiations again. Delaying them by months and creating the current issues. You seem reluctant to simply admit the truth.
232,RT @DrSJaishankar: Never too far for friendship. 
233,Made in India vaccines arrive in Paraguay.
234,#VaccineMaitri https://t.co/UxdbKlqwAN
235,The govt needs a VA to help them with paperwork. Unsigned documenrs mean a further delay. A simple signature would gives us Pfizer vaccines in TWO WEEKS. https://t.co/232db8YumT
236,RT @VincentRK: Here is the reason for my optimism. 
237,73% age &gt;65 have been vaccinated with at least 1 dose. 
238,34% of adults have received at…
239,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
240,"RT @EricMMatheny: Some countries require vaccines for travel. That’s fine, as you choose to travel internationally. But Vaccine Passports w…"
241,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
242,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
243,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
244,"RT @pbhushan1: Amazing how Govt&amp;media is hyping the fresh Covid wave&amp; Vaccines, w/o asking whether fresh wave is due to UK &amp; South African…"
245,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
246,"RT @joeytrenas77: Since private companies will now be able to purchase covid vaccines, where will all the money the government borrowed for…"
247,RT @LCLuckiest: There are 2 million vaccines in this country. Only a fraction have been administered. Why? Because the Federal Government a…
248,"RT @celinegounder: VERY GOOD NEWS: Real-world evidence that the Pfizer and Moderna mRNA vaccines prevent infection, not just disease and de…"
249,RT @DanielBleakley: Nurses can't even get appointments for vaccines in QLD.
250,"I thought ""the eagle has landed""?"
251,The hard  right media and the BBC don’t cover anti government stories or if they do twist the truth eg vaccines and the EU......oh and also many people just don’t give a damn https://t.co/aW92DPzEHK
252,RT @Acosta: Just the shot in the arm I needed. The latest studies show the Covid-19 vaccines are highly effective. Please do your part to e…
253,RT @ETC_Corporate: The development of multiple #vaccines provides a glimmer of hope for 2021 #travel performance. @TEglobaltravel upside sc…
254,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
255,Nobody is safe until everyone is safe
256,New vaccines could be needed in a year | | The Guardian https://t.co/cPbSe1rP1l
257,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
258,RT @tehseenp: .#Covid_19 cases in Maharashtra &amp; India are increasing.
259,"Vaccines are here in Maharashtra, yet many Indians don't have access,…"
260,RT @eresc79: 17. They found that the serum from people with doses of the vaccines was good at preventing infection of the wild type and B.1…
261,RT @3Groter: mRNA vaccines have #never been used on humans before. 
262,"That, by definition, is ""human experimentation"" Nuremberg Code: Articl…"
263,Blue Dog #NewsDigest @timesofindia 
264,"'Pfizer, Moderna vaccines highly effective after first shot in real-world use: US study'"
265,#NewsDigest #COVID?19 https://t.co/G9ypeftZyy
266,"RT @rwang0: MyPOV: what's up with the market, that ship in the suez and banking stocks, vaccines vs variants, and more"
267,@cheddar @KristenSc…
268,RT @DrSJaishankar: Never too far for friendship. 
269,Made in India vaccines arrive in Paraguay.
270,#VaccineMaitri https://t.co/UxdbKlqwAN
271,"If this government will use the vaccines as leverage for their political survival, and the people still vote for them.. Then we are fuqued!"
272,"RT @pbhushan1: Amazing how Govt&amp;media is hyping the fresh Covid wave&amp; Vaccines, w/o asking whether fresh wave is due to UK &amp; South African…"
273,Wasn’t it lucky they happened to have vaccines lying round that can set our Economy free! Though it took long enough for them to remember this. Needed time to cull the herd?
274,RT @Milhouse_Van_Ho: Vaccine passports and vaccines are completely different things. You can be the most pro-vaccine person on the planet a…
275,"RT @NPR: The 3 COVID-19 vaccines currently authorized in the U.S. are all safe for people with suppressed immune systems, scientists say.…"
276,"@denis_aunga Vaccines aren't curatives. Vaccines only reduces the severity of the disease incase you are infected. For the case of covid, the body will be prepared by producing memory health cells in response to the mild form of the virus introduced into the body by vaccination."
277,Some vaccines will be purchased na by private sectors and we had trillions of unused loans... Tapos ang ending ganito? Ibubulsa nyo ba naman yan https://t.co/Mz8CHtcIGQ
278,NAalytics/Assemblies-of-putative-SARS-CoV2-spike-encoding-mRNA-sequences-for-vaccines-BNT-162b2-and-mRNA-1273 https://t.co/zpC2OpGgL2
279,The technicalities are beyond me but the motivation is not. https://t.co/ssH5Mku6Zg
280,"RT @pbhushan1: Amazing how Govt&amp;media is hyping the fresh Covid wave&amp; Vaccines, w/o asking whether fresh wave is due to UK &amp; South African…"
281,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
282,Your questions about COVID-19 vaccines answered https://t.co/ZR13JStEhN
283,RT @guardian: Tuesday briefing: New vaccines could be needed in a year https://t.co/jFDXFp9sXA
284,"Ps if you’re really committed to equitable access to vaccines act on that right now through fully funding the ACT accelerator, distributing vaccines fairly and investing in healthcare systems -rather than slashing international aid and waiting for the next pandemic!"
285,"RT @Matthew_4_Trump: The ""scientists"" are now saying we will need new vaccines within a year."
286,The plandemic that never ends. Because it's…
287,RT @todayng: Johnson &amp; Johnson to deliver up to 400 million coronavirus vaccines to Africa https://t.co/MDnq0PYsZ5
288,"RT @nypost: Fake vaccines, certificates being sold on darknet https://t.co/s2qXhNRtdZ https://t.co/uIKkhKBDJb"
289,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
290,RT @ianbremmer: Geopolitics of Vaccines
291,China 
292,229m doses for domestic use
293,109m (48%) exported 
294,US
295,164m domestic
296,0 exported
297,India
298,125m d…
299,"RT @kunalpurohit: Unbelieavable. Centre rejects BMC's request to allow it to go door-to-door for vaccinating 1,50,000 old and disabled citi…"
300,"RT @Fede_254: As we wait for the Covid-19 vaccines to reach our category so that we can be administered, let's take caution of Covid-19 sin…"
301,RT @DrJoyeeta: My entire clinic staff has been exposed to the virus since I saw my first case in April 2020.
302,"We wore our masks,washed our h…"
303,@243Andrew @ChapelGuilt @jackandthebear @3omarlakkis @MPIainDS The EU can’t ban vaccine exports
304,And the reason they are in this mess is themselves
